:START_ID(Actor-ID),:END_ID(Pelicula-ID)
Hayden Christensen,Star Wars: The Phantom Menace
Ewan McGregor,Star Wars: Attack of the Clones
Ewan McGregor,Star Wars: Revenge of the Sith
Ewan McGregor,Star Wars: The Phantom Menace
Chris Pine,Wonder Woman
Channing Tatum,21 Jump Street
Channing Tatum,22 Jump Street
Channing Tatum,The Vow
Daniel Craig,No Time to Die
Daniel Craig,Knives Out
Andrew Garfield,The Amazing Spider-Man
Andrew Garfield,The Amazing Spider-Man 2
Andrew Garfield,The Social Network
Laurence Fishburne,Batman v Superman: Dawn of Justice
Laurence Fishburne,Man of Steel
Laurence Fishburne,Matrix
Laurence Fishburne,John Wick
Laurence Fishburne,John Wick: Chapter 2
Laurence Fishburne,John Wick: Chapter 3 - Parabellum
Jake Gyllenhaal,Brokeback Mountain
Jake Gyllenhaal,Zodiac
Jake Gyllenhaal,Spider-Man: Far From Home
Hugh Jackman,X-Men: Days of Future Past
Hugh Jackman,The Greatest Showman
Hugh Jackman,X-Men: First Class
Jason Momoa,Batman v Superman: Dawn of Justice
Jason Momoa,Justice League
Jason Momoa,Aquaman
Ice Cube,21 Jump Street
Ice Cube,22 Jump Street
Daniel Radcliffe,Harry Potter and the Philosopher's Stone
Daniel Radcliffe,Harry Potter and the Chamber of Secrets
Daniel Radcliffe,Harry Potter and the Prisioner of Azkaban
Daniel Radcliffe,Harry Potter and the Goblet of Fire
Daniel Radcliffe,Harry Potter and the Order of the Phoenix
Daniel Radcliffe,Harry Potter and the Half-Blood Prince
Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 1
Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2
Daniel Radcliffe,Now You See Me 2
Rupert Grint,Harry Potter and the Philosopher's Stone
Rupert Grint,Harry Potter and the Chamber of Secrets
Rupert Grint,Harry Potter and the Prisioner of Azkaban
Rupert Grint,Harry Potter and the Goblet of Fire
Rupert Grint,Harry Potter and the Order of the Phoenix
Rupert Grint,Harry Potter and the Half-Blood Prince
Rupert Grint,Harry Potter and the Deathly Hallows: Part 1
Rupert Grint,Harry Potter and the Deathly Hallows: Part 2
Luke Evans,Beauty and the Beast
Jesse Eisenberg,The Social Network
Jesse Eisenberg,Batman v Superman: Dawn of Justice
Jesse Eisenberg,Justice League
Jesse Eisenberg,Now You See Me 2
Jesse Eisenberg,Now You See Me
Jesse Eisenberg,Zombieland
Jesse Eisenberg,Zombieland: Double Tap
Zac Efron,Extremely Wicked Shockingly Evil and Vile
Zac Efron,Baywatch
Zac Efron,The Greatest Showman
Zendaya,Spider-Man: Far From Home
Zendaya,Spider-Man: Homecoming
Zendaya,The Greatest Showman
Lilly Collins,Mirror Mirror
Lilly Collins,Extremely Wicked Shockingly Evil and Vile
Marion Cotillard,Inception
Marion Cotillard,The Dark Knight Rises
Steve Carell,The Big Short
Steve Carell,Crazy Stupid Love
Woody Harrelson,The Hunger Games
Woody Harrelson,Now You See Me 2
Woody Harrelson,Now You See Me
Woody Harrelson,Zombieland
Woody Harrelson,Zombieland: Double Tap
Jeremy Renner,Avengers
Jeremy Renner,Avengers: Age of Ultron
Jeremy Renner,Avengers: Endgame
Jeremy Renner,Captain America: Civil War
Jeremy Renner,Arrival
Armie Hammer,The Social Network
Armie Hammer,The Man from U.N.C.L.E.
Armie Hammer,Mirror Mirror
Hugo Weaving,Captain America: The First Avenger
Hugo Weaving,Matrix
Joseph Gordon-Levitt,The Dark Knight Rises
Joseph Gordon-Levitt,Inception
Joseph Gordon-Levitt,10 Things I Hate About You
