titulo,anio,genero,poster,banner,descripcion
Batman Begins,2005,Acción,"https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://okdiario.com/img/2020/06/16/batman-655x368.jpg","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
The Dark Knight,2008,Acción,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://dam.smashmexico.com.mx/wp-content/uploads/2018/07/09202029/the-dark-knight-10-anios-cover.jpg","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Dark Knight Rises,2012,Acción,"https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://monitorsur.com/wp-content/uploads/dark-knight-rises.jpg","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
The Hunger Games,2012,Acción,"https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://static2.srcdn.com/wordpress/wp-content/uploads/2019/06/The-Hunger-Games-Movies-Ranked.jpg","Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
X-Men: First Class,2015,Acción,"https://m.media-amazon.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.onebauer.media/one/empire-tmdb/films/49538/images/39nstYsfjR6ggyKTtB4Joga2fs8.jpg?quality=50&width=1800&ratio=16-9&resizeStyle=aspectfill&format=jpg","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
X-Men: Days of Future Past,2015,Acción,"https://m.media-amazon.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.onebauer.media/one/empire-tmdb/films/127585/images/ai9UKd8KownQKGIh1m5p3DuEeMm.jpg?quality=50&width=1800&ratio=16-9&resizeStyle=aspectfill&format=jpg","The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
Star Wars: A New Hope,1977,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTUzNDY0NjY4Nl5BMl5BanBnXkFtZTgwNjY4MTQ0NzE@._V1_CR0,60,640,360_AL_UX477_CR0,0,477,268_AL_.jpg","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
Star Wars: The Empire Strikes Back,1980,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.margaretriver.com/wp-content/uploads/2020/09/6jycQtEorKgmcsi9AeYBrRxlpqu.jpg","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
Star Wars: Attack of the Clones,2002,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.ytimg.com/vi/gYbW1F_c9eM/maxresdefault.jpg","Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi."
Star Wars: Revenge of the Sith,2005,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_UY268_CR9,0,182,268_AL_.jpg","https://www.denofgeek.com/wp-content/uploads/2019/11/star-wars-revenge-sith-hero_0.jpg?resize=768%2C432","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
Star Wars: Return of the Jedi,1983,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn20.pamono.com/p/g/5/9/593964_yaneshw35r/star-wars-return-of-the-jedi-poster-by-josh-kirby-1983-1.jpg","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Star Wars: The Phantom Menace,1999,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://filmdaily.co/wp-content/uploads/2018/05/star-wars-the-phantom-menace.jpg","Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
Suicide Squad,2016,Acción,"https://m.media-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://images-na.ssl-images-amazon.com/images/S/sgp-catalog-images/region_US/wb-888574413101-Full-Image_GalleryBackground-en-US-1504651645355._SX1080_.jpg","A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."
American Psycho,2000,Thriller,"https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://lh3.googleusercontent.com/proxy/nWntKPpBTd4fYTCzIh6JhEXW-A_OkXrSqZFPeYoIen54rd8txPRBhDlA2OHFjFjzA7BBRthtY_IXjJY-qpEWJWg534jkl6Ip0OL6oR34RTiEnoECJ8cVc1SvPHKlucm4jlgekiQEC5PXQUCOg_I","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Wonder Woman,2017,Acción,"https://m.media-amazon.com/images/M/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://hipertextual.com/files/2019/01/hipertextual-wonder-woman-1984-steve-trevor-regreso-2019873442.jpg","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Man of Steel,2013,Acción,"https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://dam.smashmexico.com.mx/wp-content/uploads/2018/04/24151751/man-of-steel-primera-pelicula-de-cinco-superman.jpg","An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth."
Doctor Strange,2016,Acción,"https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.cinemascomics.com/wp-content/uploads/2018/11/marvel-studios-error-linea-temporal-doctor-strange.jpg","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
The Notebook,2015,Romance,"https://m.media-amazon.com/images/M/MV5BMTk3OTM5Njg5M15BMl5BanBnXkFtZTYwMzA0ODI3._V1_UX182_CR0,0,182,268_AL_.jpg","https://imgix.bustle.com/uploads/image/2018/5/9/12ab3a43-bad3-4126-b91e-25de8a2e721b-notebook.jpg?w=1200&h=630&fit=crop&crop=faces&fm=jpg","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
